Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 26.06      3.74     3.74   626774     0.01     0.01  double std::generate_canonical<double, 53ul, std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
 14.36      5.80     2.06 13973297     0.00     0.00  Vec3::operator[](int) const
  5.78      6.63     0.83  1246916     0.00     0.00  AABB::intersect(Ray const&, double, double, Vec3&, double&, Vec3&) const
  5.23      7.38     0.75  1794788     0.00     0.00  bool __gnu_cxx::operator!=<Object* const*, std::vector<Object*, std::allocator<Object*> > >(__gnu_cxx::__normal_iterator<Object* const*, std::vector<Object*, std::allocator<Object*> > > const&, __gnu_cxx::__normal_iterator<Object* const*, std::vector<Object*, std::allocator<Object*> > > const&)
  4.95      8.09     0.71  5656067     0.00     0.00  Vec3::Vec3()
  3.62      8.61     0.52   621642     0.00     0.01  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  2.93      9.03     0.42  2854895     0.00     0.00  double const& std::min<double>(double const&, double const&)
  2.89      9.45     0.41  3799108     0.00     0.00  __gnu_cxx::__normal_iterator<Object* const*, std::vector<Object*, std::allocator<Object*> > >::base() const
  2.89      9.86     0.41  1442401     0.00     0.00  std::enable_if<std::__and_<std::__not_<std::__is_tuple_like<double> >, std::is_move_constructible<double>, std::is_move_assignable<double> >::value, void>::type std::swap<double>(double&, double&)
  2.33     10.20     0.34  3318263     0.00     0.00  Vec3::Vec3(double, double, double)
  2.16     10.51     0.31     2041     0.15     0.15  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  1.95     10.79     0.28  4385605     0.00     0.00  std::remove_reference<double&>::type&& std::move<double&>(double&)
  1.81     11.04     0.26   573794     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::operator()()
  1.67     11.29     0.24   232203     0.00     0.03  findFirstCollision(Ray const&, std::vector<Object*, std::allocator<Object*> > const&)
  1.57     11.51     0.23   776375     0.00     0.00  Vec3::operator+(Vec3 const&) const
  1.11     11.67     0.16  1006833     0.00     0.00  Vec3::dot(Vec3 const&) const
  1.11     11.83     0.16   476325     0.00     0.01  randomDouble()
  1.11     11.99     0.16   116048     0.00     0.10  calculateColor(Ray const&, std::vector<Object*, std::allocator<Object*> > const&, int)
  1.01     12.13     0.14  1197458     0.00     0.00  Vec3::length() const
  0.66     12.23     0.10  1521710     0.00     0.00  __gnu_cxx::__normal_iterator<Object* const*, std::vector<Object*, std::allocator<Object*> > >::operator++()
  0.66     12.32     0.10   504412     0.00     0.00  __gnu_cxx::__normal_iterator<Object* const*, std::vector<Object*, std::allocator<Object*> > >::__normal_iterator(Object* const* const&)
  0.63     12.41     0.09  1723126     0.00     0.00  __gnu_cxx::__normal_iterator<Object* const*, std::vector<Object*, std::allocator<Object*> > >::operator*() const
  0.63     12.51     0.09   551717     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.63     12.60     0.09   374288     0.00     0.00  Vec3::operator-(Vec3 const&) const
  0.63     12.69     0.09   187786     0.00     0.00  bool __gnu_cxx::operator!=<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >(__gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > > const&, __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > > const&)
  0.56     12.77     0.08   594612     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.56     12.85     0.08   416073     0.00     0.00  Vec3::operator*(double) const
  0.49     12.91     0.07                             _init
  0.45     12.98     0.07   233064     0.00     0.02  Lambertian::scatter(Ray const&, HitInfo const&, Vec3&, Ray&) const
  0.42     13.04     0.06   248056     0.00     0.00  Sphere::intersect(Ray const&, double, double, Vec3&, double&, Vec3&) const
  0.42     13.10     0.06   241260     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::end() const
  0.42     13.16     0.06   199030     0.00     0.02  Lambertian::randomInHemisphere(Vec3 const&) const
  0.42     13.22     0.06                             _GLOBAL__sub_I__Z18findFirstCollisionRK3RayRKSt6vectorIP6ObjectSaIS4_EE
  0.38     13.28     0.06                             AABB::~AABB()
  0.35     13.32     0.05   854336     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.35     13.38     0.05   275878     0.00     0.00  Ray::Ray(Vec3 const&, Vec3 const&)
  0.35     13.43     0.05   246252     0.00     0.00  HitInfo::HitInfo()
  0.35     13.47     0.05   215538     0.00     0.00  Ray::at(double) const
  0.35     13.53     0.05   160382     0.00     0.00  operator new(unsigned long, void*)
  0.35     13.57     0.05   117829     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.28     13.62     0.04   382139     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >::base() const
  0.28     13.65     0.04   274235     0.00     0.00  Ray::Ray()
  0.28     13.70     0.04   270038     0.00     0.00  std::vector<Object*, std::allocator<Object*> >::begin() const
  0.28     13.73     0.04   151649     0.00     0.00  Vec3 const& std::forward<Vec3 const&>(std::remove_reference<Vec3 const&>::type&)
  0.24     13.77     0.04   310018     0.00     0.00  Vec3::normalize() const
  0.24     13.80     0.04    23624     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_M_create_storage(unsigned long)
  0.21     13.84     0.03   572152     0.00     0.01  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.21     13.87     0.03   254076     0.00     0.00  Vec3::operator*(Vec3 const&) const
  0.21     13.89     0.03   152878     0.00     0.00  void std::_Construct<Vec3, Vec3 const&>(Vec3*, Vec3 const&)
  0.21     13.93     0.03    50852     0.00     0.00  operator*(double, Vec3 const&)
  0.21     13.96     0.03     5806     0.01     0.01  std::vector<Vec3, std::allocator<Vec3> >::begin()
  0.17     13.98     0.03   204052     0.00     0.02  Lambertian::randomUnitVector() const
  0.17     14.01     0.03     9591     0.00     0.00  std::allocator<Vec3>::allocator()
  0.14     14.03     0.02   162151     0.00     0.00  __gnu_cxx::__normal_iterator<Vec3*, std::vector<Vec3, std::allocator<Vec3> > >::operator++()
  0.14     14.04     0.02   154747     0.00     0.00  Vec3::nearZero() const
  0.14     14.06     0.02   150385     0.00     0.00  Vec3* std::__addressof<Vec3>(Vec3&)
  0.14     14.09     0.02    66203     0.00     0.00  Vec3::operator-()
  0.14     14.11     0.02    33666     0.00     0.00  std::_Vector_base<Vec3, std::allocator<Vec3> >::_M_get_Tp_allocator()
  0.14     14.12     0.02    22297     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::allocate(unsigned long, void const*)
  0.14     14.14     0.02    20342     0.00     0.01  Vec3* std::__uninitialized_fill_n<false>::__uninit_fill_n<Vec3*, unsigned long, Vec3>(Vec3*, unsigned long, Vec3 const&)
  0.14     14.16     0.02    19116     0.00     0.00  std::vector<Vec3, std::allocator<Vec3> >::_S_check_init_len(unsigned long, std::allocator<Vec3> const&)
  0.14     14.19     0.02    11923     0.00     0.00  __gnu_cxx::new_allocator<Vec3>::new_allocator()
  0.14     14.21     0.02        1    20.00    20.00  __static_initialization_and_destruction_0(int, int)
