
| Échantillons (samples) | Temps d'exécution (secondes) |
|------------------------|------------------------------|
| 100                    | 96.94                        |
| 200                    | 193.00                       |
| 300                    | 251.53                       |
| 400                    | 343.40                       |
| 500                    | 436.17                       |
| 600                    | 551.00                       |
| 700                    | 637.63                       |
| 800                    | 683.59                       |
| 900                    | 420.19                       |
| 1000                   | 471.68                       |
| 10000                  | 4825.31                      |
| 20000                  | 9699.69                      |
